PBO Assigned To,Address
Lorlyn Apartments,1050 Lorlyn CIR
Lorlyn Apartments,1054 Lorlyn CIR
Lorlyn Apartments,1063 Lorlyn CIR
Lorlyn Apartments,1064 Lorlyn CIR
Lorlyn Apartments,1101 Lorlyn CIR
Lorlyn Apartments,1102 Lorlyn CIR
Riverain Apartments,200 N Island AVE
Bellevue Place,333 S Jefferson ST
Lorlyn Apartments,934 Lorlyn CIR
Park & Sons Auto Repair,403 E Wilson ST
R & S Liquors,415 E Wilson ST
Vacant,416 E Wilson ST
Batavia Fire Station 1,800 E Wilson ST
R. J. Kielion Plumbing Co.,825 E Wilson ST
Vacant,833 E Wilson ST
Valley Upholstery,835 E Wilson ST
Classic Carriage Auto Body,843 E Wilson ST
"Anderson & Marter Cabinets, Inc.",845 E Wilson ST
Racing Needles,847 E Wilson ST
Dazzo's Auto Repair,853 E Wilson ST
Redline Powertrain,555 S River ST
Tom Rubio,555 S River ST
Jeff Michaels Garage,555 S River ST
Redline Powertrain,555 S River ST
555 S River Primary,555 S River ST
Paramount Fence,557 S River ST
Taber Builders,557 S River ST
Don's Sharpening Centre,560 S River ST
"Tool Rite Industries, Inc.",570 S River ST
Prime TTC,575 S River ST
Bulldog Plumbing,580 S River ST
Zollers Landscaping,590 S River ST
Smart Buy Auto Credit,600 S River ST
Batavia Park District Garage,700 S River ST
Star Tool,800 S River ST
Certified Auto,820 S River ST
Therapy Care & Accucare Rehabilitation,1001 E Wilson ST
Two Steps Ahead Podiatry,1001 E Wilson ST
Align Dentistry,1001 E Wilson ST
Kuhn Counseling Center,1001 E Wilson ST
1001 E Wilson [Building],1001 E Wilson ST
Coding and robotics instructions,1001 E Wilson ST
Northwestern Medicine,1049 E Wilson ST
Batavia physical therapy,1049 E Wilson ST
Therapy Care,1049 E Wilson ST
Wellspring Family Physicians,1049 E Wilson ST
Advanced Dermatology,1049 E Wilson ST
Batavia Physical Therapy,1049 E Wilson ST
Brinka Chiropractic,1049 E Wilson ST
Strategic Navigators,901 E Wilson ST
Louie Angelo's Pizza,909 E Wilson ST
Tip Top Nails,913 E Wilson ST
Kings & Queens Children's Academy,929 E Wilson ST
Wilson Business Center,1605 W Wilson ST
Ace Hardware,1901 W Wilson ST
Wendy's Restaurant,1905 W Wilson ST
State Farm Insurance - Mark Murphy,1906 W Wilson ST
Sofa Solutions,1911 W Wilson ST
ELIFF DENTAL,1912 W Wilson ST
Country Insurance & Financial Services,1921 W Wilson ST
Batavia Parcel,1921 W Wilson ST
Hanson Chiropractic,1928 W Wilson ST
Vacant,1931 W Wilson ST
Hix Brothers Music,1941 W Wilson ST
Apple Villa Pancake House,1961 W Wilson ST
Vacant,1978 W Wilson ST
Old Second National Bank,1991 W Wilson ST
Great Escape,1995 W Wilson ST
Marconi storage (building owner),10 E Wilson ST
Vacant,10 E Wilson ST
Six Plus Cypress Boutique,103 E Wilson ST
Wilson Street Tavern,105 E Wilson ST
Katie O'Brien,109 E Wilson ST
Hailey B's Bakery,109 E Wilson ST
Pure Imagination,12 E Wilson ST
Apartments Second Floor,16 E Wilson ST
The Comedy Vault,18 E Wilson ST
Heart of the Home,2 E Wilson ST
Healing Arts Metaphysical Center,4 E Wilson ST
Batavia Dance Academy,8 E Wilson ST
12 Step Club,8 E Wilson ST
Batavia Academy of Dance,8.5 E Wilson ST
Sonoco,1500 Paramount PKY
Nature's Finest Foods,1505 Paramount PKY
Reliable Auto- Mad Fox Choppers,1515 Paramount PKY
High 5,1525 Paramount PKY
Psychotic Air,1535 Paramount PKY
H&R Exteriors,1545 Paramount PKY
Barnaba autosport,1805 Phelps DR
Alternative Wastewater,1815 Phelps DR
Black Gold Septic,1825 Phelps DR
Salon by the River,29 S River ST
Home Tech AV,450 S River ST
TNT Signs & Graphics,460 S River ST
Olmstead's T.V. and Appliance,221 W Wilson ST
Everdine's Grilled Cheese Co.,227 W Wilson ST
Van A. Larson Attorney at Law,233 W Wilson ST
Invitations etc.,235 W Wilson ST
Lisa's Head or Nails,237 W Wilson ST
Farmdog Flowers,239 W Wilson ST
Pretty Pages,241 W Wilson ST
Batavia Park District Office,327 W Wilson ST
Batavia Self-Storage,2345 Mill  ST
Pier 1 Imports,481 N Randall RD
Mattress Firm,485 N Randall RD
Chili's Restaurant,491 N Randall RD
Tesla,501 N Randall RD
Chuck E. Cheese Restaurant,511 N Randall RD
Vacant,521 N Randall RD
"Portillo's Hot Dogs, Inc.",531 N Randall RD
Walmart,801 N Randall RD
Athletico,805 N Randall RD
Geneva Family Practice,815 N Randall RD
Smarty Pants Cafe,817 N Randall RD
B Stylish Nails,819 N Randall RD
Miracle Ear,821 N Randall RD
First State Bank,825 N Randall RD
Pep Boys,837 N Randall RD
Vacant,849 N Randall RD
